rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.04,0.27,92.86
2,Spain,UEFA,3.5,0.54,92.1
3,Belgium,UEFA,3.03,0.61,87.76
4,Germany,UEFA,2.92,0.57,87.42
5,France,UEFA,2.7,0.51,86.56
6,Argentina,CONMEBOL,2.5,0.46,85.46
7,England,UEFA,2.47,0.5,84.38
8,Netherlands,UEFA,2.64,0.61,84.02
9,Switzerland,UEFA,2.57,0.69,81.79
10,Colombia,CONMEBOL,2.23,0.49,81.65
11,Croatia,UEFA,2.52,0.69,81.16
12,Portugal,UEFA,2.3,0.57,80.95
13,Uruguay,CONMEBOL,2.3,0.57,80.94
14,Italy,UEFA,2.08,0.48,79.75
15,Chile,CONMEBOL,2.31,0.72,77.7
16,Sweden,UEFA,2.02,0.63,75.48
17,Serbia,UEFA,2.12,0.71,75.07
18,Mexico,CONCACAF,2.05,0.76,73.15
19,Ukraine,UEFA,1.96,0.69,73.0
20,Nigeria,CAF,1.92,0.69,72.53
21,Morocco,CAF,1.89,0.67,72.5
22,Denmark,UEFA,1.91,0.69,72.18
23,Ecuador,CONMEBOL,2.06,0.81,71.98
24,Peru,CONMEBOL,1.89,0.7,71.82
25,Ghana,CAF,1.81,0.63,71.82
26,Austria,UEFA,1.85,0.69,71.27
27,Japan,AFC,2.19,0.95,71.14
28,Russia,UEFA,1.95,0.79,70.65
29,Poland,UEFA,1.96,0.82,70.11
30,Iran,AFC,1.68,0.62,69.9
31,Bosnia and Herzegovina,UEFA,1.89,0.77,69.89
32,Wales,UEFA,1.87,0.78,69.45
33,Norway,UEFA,1.79,0.72,69.31
34,USA,CONCACAF,1.95,0.85,69.21
35,Paraguay,CONMEBOL,1.86,0.8,68.86
36,Senegal,CAF,1.71,0.7,68.56
37,Czech Republic,UEFA,1.89,0.86,67.8
38,Slovakia,UEFA,1.89,0.89,67.09
39,Venezuela,CONMEBOL,1.81,0.84,66.93
40,Algeria,CAF,2.01,1.0,66.78
41,Australia,AFC,1.96,0.98,66.43
42,Ivory Coast,CAF,1.6,0.71,65.9
43,Costa Rica,CONCACAF,1.8,0.91,64.96
44,Turkey,UEFA,1.78,0.92,64.45
45,South Korea,AFC,1.68,0.84,64.39
46,Egypt,CAF,1.86,0.99,64.37
47,Scotland,UEFA,1.78,0.94,64.01
48,Iceland,UEFA,1.83,1.0,63.43
49,Tunisia,CAF,1.75,1.02,61.42
50,Romania,UEFA,1.5,0.81,61.33
51,Mali,CAF,1.38,0.77,59.75
52,Greece,UEFA,1.35,0.77,59.08
53,South Africa,CAF,1.51,0.92,58.83
54,Cameroon,CAF,1.46,0.89,58.4
55,Rep of Ireland,UEFA,1.41,0.87,57.79
56,Finland,UEFA,1.5,0.98,57.14
57,Bolivia,CONMEBOL,1.58,1.06,57.01
58,Northern Ireland,UEFA,1.34,0.86,56.54
59,Israel,UEFA,1.64,1.17,55.68
60,Canada,CONCACAF,1.49,1.03,55.65
61,Congo DR,CAF,1.55,1.1,55.46
62,Montenegro,UEFA,1.49,1.04,55.45
63,Qatar,AFC,1.73,1.29,54.98
64,Saudi Arabia,AFC,1.51,1.08,54.81
65,Hungary,UEFA,1.52,1.12,54.09
66,Slovenia,UEFA,1.33,0.95,53.97
67,Burkina Faso,CAF,1.41,1.04,53.72
68,Uzbekistan,AFC,1.31,0.94,53.64
69,Guinea,CAF,1.54,1.17,53.56
70,Georgia,UEFA,1.43,1.07,53.32
71,Zambia,CAF,1.35,0.99,53.25
72,Honduras,CONCACAF,1.55,1.21,53.09
73,Belarus,UEFA,1.3,1.0,52.09
74,Bulgaria,UEFA,1.39,1.09,52.0
75,Haiti,CONCACAF,1.45,1.16,51.88
76,FYR Macedonia,UEFA,1.33,1.04,51.86
77,Angola,CAF,1.24,0.99,50.89
78,Syria,AFC,1.54,1.31,50.52
79,Panama,CONCACAF,1.34,1.11,50.45
80,Iraq,AFC,1.26,1.03,50.25
81,China PR,AFC,1.23,1.03,49.75
82,Kosovo,UEFA,1.36,1.18,49.27
83,Libya,CAF,1.4,1.22,49.27
84,Zimbabwe,CAF,1.46,1.3,49.08
85,Uganda,CAF,1.02,0.86,48.28
86,Kenya,CAF,1.18,1.04,48.06
87,Tanzania,CAF,1.4,1.33,46.77
88,Armenia,UEFA,1.54,1.49,46.57
89,Jamaica,CONCACAF,1.39,1.36,46.07
90,Cape Verde Islands,CAF,1.19,1.16,45.79
91,Gabon,CAF,1.03,0.99,45.44
92,New Zealand,OFC,1.28,1.29,44.99
93,Albania,UEFA,1.15,1.18,44.17
94,Congo,CAF,1.38,1.45,43.96
95,Curacao,CONCACAF,1.39,1.48,43.47
96,Jordan,AFC,0.86,0.88,43.45
97,Guatemala,CONCACAF,1.4,1.5,43.2
98,Burundi,CAF,0.99,1.05,42.83
99,Togo,CAF,1.14,1.26,42.06
100,Oman,AFC,0.86,0.96,41.35
101,Bahrain,AFC,0.94,1.09,40.89
102,Trinidad and Tobago,CONCACAF,1.24,1.46,40.42
103,Benin,CAF,1.19,1.41,40.25
104,El Salvador,CONCACAF,1.13,1.36,39.84
105,Namibia,CAF,0.66,0.79,39.55
106,Estonia,UEFA,0.99,1.23,39.18
107,Kazakhstan,UEFA,1.21,1.49,39.11
108,Botswana,CAF,0.85,1.08,38.52
109,Madagascar,CAF,1.15,1.46,38.31
110,Cuba,CONCACAF,0.83,1.06,38.29
111,Cyprus,UEFA,1.07,1.42,37.17
112,Dominican Republic,CONCACAF,1.21,1.62,36.64
113,Mauritania,CAF,1.16,1.57,36.37
114,Liberia,CAF,1.24,1.67,36.34
115,Moldova,UEFA,0.96,1.33,36.13
116,Guinea-Bissau,CAF,1.1,1.53,35.79
117,United Arab Emirates,AFC,0.79,1.12,35.75
118,Gambia,CAF,1.0,1.43,35.29
119,Kuwait,AFC,0.84,1.22,35.27
120,Malawi,CAF,0.57,0.86,35.07
121,Equatorial Guinea,CAF,0.89,1.31,34.71
122,Chad,CAF,1.02,1.52,33.82
123,Sudan,CAF,0.77,1.2,33.63
124,St. Kitts and Nevis,CONCACAF,1.12,1.68,33.55
125,North Korea,AFC,0.94,1.45,33.32
126,Bermuda,CONCACAF,1.16,1.75,33.28
127,Mozambique,CAF,0.96,1.51,32.74
128,Ethiopia,CAF,0.72,1.21,32.29
129,Luxembourg,UEFA,0.99,1.58,32.15
130,Rwanda,CAF,0.7,1.19,32.1
131,Azerbaijan,UEFA,0.87,1.43,31.97
132,Lithuania,UEFA,1.02,1.65,31.53
133,Sierra Leone,CAF,1.07,1.72,31.44
134,Palestine,AFC,0.81,1.43,30.38
135,Lebanon,AFC,0.5,1.0,30.01
136,Niger,CAF,0.92,1.63,29.58
137,Nicaragua,CONCACAF,0.95,1.7,29.2
138,Latvia,UEFA,0.84,1.54,29.19
139,Central African Republic,CAF,1.11,1.92,29.16
140,Comoros,CAF,1.01,1.78,29.13
141,Thailand,AFC,1.0,1.78,28.91
142,Antigua and Barbuda,CONCACAF,1.08,2.04,26.63
143,Turkmenistan,AFC,0.79,1.62,26.51
144,Kyrgyzstan,AFC,0.63,1.4,26.32
145,Vietnam,AFC,0.74,1.59,26.03
146,Belize,CONCACAF,0.84,1.75,25.72
147,Lesotho,CAF,0.59,1.38,25.56
148,New Caledonia,OFC,0.72,1.65,24.5
149,Fiji,OFC,0.65,1.57,23.98
150,Puerto Rico,CONCACAF,0.81,1.86,23.42
151,Swaziland,CAF,0.52,1.42,23.05
152,Guyana,CONCACAF,1.07,2.31,22.72
153,Suriname,CONCACAF,0.73,1.79,22.69
154,Martinique,CONCACAF,0.84,1.97,22.63
155,Faroe Islands,UEFA,0.72,1.79,22.28
156,Solomon Islands,OFC,0.65,1.76,21.2
157,St. Lucia,CONCACAF,0.66,1.8,20.87
158,Barbados,CONCACAF,0.54,1.61,20.54
159,Vanuatu,OFC,0.69,1.88,20.38
160,Tahiti,OFC,0.81,2.15,19.56
161,Philippines,AFC,0.73,2.02,19.54
162,India,AFC,0.6,1.8,19.41
163,Hong Kong,AFC,0.44,1.52,19.38
164,Tajikistan,AFC,0.69,2.0,18.76
165,Mauritius,CAF,0.78,2.18,18.53
166,South Sudan,CAF,0.8,2.27,17.99
167,Malta,UEFA,0.65,2.05,17.52
168,Sao Tome and Principe,CAF,0.82,2.36,17.22
169,Dominica,CONCACAF,0.41,1.71,16.32
170,Liechtenstein,UEFA,0.64,2.15,16.16
171,Indonesia,AFC,0.58,2.09,15.55
172,St. Vincent and the Grenadines,CONCACAF,0.71,2.37,15.18
173,Singapore,AFC,0.44,1.86,15.13
174,Yemen,AFC,0.35,1.69,15.0
175,Gibraltar,UEFA,0.56,2.15,14.59
176,Malaysia,AFC,0.5,2.09,13.98
177,Grenada,CONCACAF,0.69,2.51,13.4
178,Afghanistan,AFC,0.61,2.44,12.73
179,Seychelles,CAF,0.43,2.21,11.56
180,Andorra,UEFA,0.26,1.87,11.02
181,Aruba,CONCACAF,0.6,2.65,10.77
182,Cayman Islands,CONCACAF,0.42,2.37,10.05
183,Myanmar,AFC,0.45,2.5,9.53
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Montserrat,CONCACAF,0.79,3.31,8.96
186,Bahamas,CONCACAF,0.73,3.26,8.54
187,Nepal,AFC,0.2,2.11,8.01
188,Chinese Taipei,AFC,0.47,2.8,7.97
189,Maldives,AFC,0.41,2.87,6.75
190,French Guiana,CONCACAF,0.47,3.17,6.02
191,Somalia,CAF,0.4,3.14,5.39
192,Djibouti,CAF,0.44,3.33,5.03
193,Mongolia,AFC,0.32,3.05,4.84
194,Bangladesh,AFC,0.2,2.76,4.64
195,British Virgin Islands,CONCACAF,0.46,3.53,4.43
196,San Marino,UEFA,0.27,3.06,4.32
197,Cambodia,AFC,0.3,3.51,3.22
198,Anguilla,CONCACAF,0.4,3.86,3.04
199,Turks and Caicos Islands,CONCACAF,0.7,4.69,2.96
200,Bonaire,CONCACAF,0.33,3.72,2.92
201,Guadeloupe,CONCACAF,0.21,3.58,2.36
202,Pakistan,AFC,0.23,3.74,2.18
203,Brunei,AFC,0.25,3.86,2.05
204,Bhutan,AFC,0.27,4.03,1.94
205,Sri Lanka,AFC,0.22,4.1,1.53
206,US Virgin Islands,CONCACAF,0.35,4.61,1.47
207,Laos,AFC,0.26,4.38,1.39
208,Timor-Leste,AFC,0.3,4.85,1.05
209,St. Martin,CONCACAF,0.2,4.59,0.95
210,Guam,AFC,0.29,5.04,0.88
211,Sint Maarten,CONCACAF,0.2,4.73,0.84
212,Tuvalu,OFC,0.38,5.62,0.7
213,Macau,AFC,0.2,5.75,0.34
214,Samoa,OFC,0.2,5.78,0.34
215,Tonga,OFC,0.2,6.08,0.26
